Point ID,area,continuity,lambda_continuity,lambda_momentum_x,lambda_momentum_y,momentum_x,momentum_y,p,p__x,p__y,Points_0,Points_1,Points_2,Points_Magnitude,pred_continuity,pred_momentum_x,pred_momentum_y,sdf,sdf__x,sdf__y,true_continuity,true_momentum_x,true_momentum_y,u,u__x,u__x__x,u__x__y,u__y,u__y__y,v,v__x,v__x__x,v__x__y,v__y,v__y__x,v__y__y
2424,2.5e-06,0.253732,0.000436789,0.000436789,0.000436789,0.00788669,0.029024,-0.54367,0.00700615,0.0281842,0.0132778,-0.0495632,0,0.0513109,0.253732,0.00788669,0.029024,0.000436789,0,1,0,0,0,0.000943381,0.012311,-2.54898,0.656012,-0.158636,-7.25265,0.000757217,0.00499611,3.65416,7.01326,0.241421,7.01326,-10.4517
2425,2.5e-06,-0.0494967,0.0127676,0.0127676,0.0127676,0.0310024,0.624405,-0.540273,0.0228022,0.0968993,0.0372324,0.00517459,0,0.0375903,-0.0494967,0.0310024,0.624405,0.0127676,-1,0,0,0,0,-0.0722202,7.44719,-26.5927,426.61,-4.99204,-230.317,-0.0738113,3.32548,532.355,14.4682,-7.49669,14.4681,-422.864
2426,2.5e-06,0.00345612,0.00699136,0.00699136,0.00699136,-1.02311,-0.188221,-0.569871,-0.583308,0.224834,0.00899486,0.0430086,0,0.0439392,0.00345612,-1.02311,-0.188221,0.00699136,0,-1,0,0,0,0.321063,2.42087,-216.768,-82.8681,47.8901,9056.84,0.0308119,-0.48872,-0.0331985,213.067,-2.41741,213.067,96.9157
2427,2.5e-06,0.0265093,0.0324335,0.0324335,0.0324335,0.00994008,-0.0409117,-0.547494,-0.0258802,-0.314474,-0.0175665,0.00576865,0,0.0184894,0.0265093,0.00994008,-0.0409117,0.0324335,1,0,0,0,0,-0.0711234,-3.37205,-13.4919,-35.2062,-2.74115,47.1935,0.0766454,0.282979,-164.631,11.0898,3.39856,11.0897,26.657
2428,2.5e-06,0.0573814,0.0148298,0.0148298,0.0148298,0.0428837,0.0976483,-0.542364,0.0260367,0.0787465,0.0351701,-0.0149039,0,0.0381977,0.0573814,0.0428837,0.0976483,0.0148298,-1,0,0,0,0,-0.0168833,1.41616,-59.9893,162.311,-1.59334,-136.41,0.00155789,1.14248,31.7413,72.4677,-1.35878,72.4676,-177.051
2429,2.5e-06,0.335696,0.00562445,0.00562445,0.00562445,0.0637624,0.494498,-0.54269,-0.538193,0.107493,0.0443756,0.00909447,0,0.0452979,0.335696,0.0637624,0.494498,0.00562445,-1,0,0,0,0,-0.0302444,7.55854,-930.829,571.458,-2.14167,-139.867,-0.0572971,12.8936,1379.46,932.775,-7.22285,932.775,-589.427
2430,2.5e-06,0.0421224,0.0360609,0.0360609,0.0360609,0.107468,0.0298571,-0.54457,0.09137,-0.366932,0.0139391,-0.00126441,0,0.0139964,0.0421224,0.107468,0.0298571,0.0360609,-1,0,0,0,0,-0.117523,0.164727,229.855,-74.6381,-6.27103,-24.1528,-0.00737032,-3.43408,2.34628,-239.266,-0.122605,-239.266,84.9835
2431,2.5e-06,0.0969258,0.0183581,0.0183581,0.0183581,-0.00582932,0.0105969,-0.543498,-0.0152352,0.0101502,0.0193102,-0.0316419,0,0.0370688,0.0969258,-0.00582932,0.0105969,0.0183581,0,1,0,0,0,-0.00591966,0.235569,-2.00033,36.7004,-0.887756,-97.2407,0.00319748,0.213386,25.1595,5.28324,-0.138643,5.28322,-44.7368
2432,2.5e-06,0.0676977,0.026774,0.026774,0.026774,0.0326904,0.0309187,-0.54335,0.0122541,0.0275243,0.0114323,-0.0232261,0,0.0258872,0.0676977,0.0326904,0.0309187,0.026774,0,1,0,0,0,-0.021239,0.195525,66.4368,-1.45199,-2.24186,-167.729,0.00176622,-0.44766,42.6176,-66.2031,-0.127827,-66.2031,-5.62961
2433,2.5e-06,0.375091,0.00328432,0.00328432,0.00328432,0.0348004,0.0328542,-0.544952,0.0232588,0.0240752,-0.0467157,-0.0355123,0,0.0586812,0.375091,0.0348004,0.0328542,0.00328432,1,0,0,0,0,0.00302066,0.222046,-112.624,6.37318,0.172538,4.92925,0.00137523,0.388109,-74.8537,22.6639,0.153045,22.6639,-1.39061
2434,2.5e-06,-0.0129228,0.0106073,0.0106073,0.0106073,0.152151,0.136758,-0.57193,0.564453,0.164629,0.0230784,0.0393927,0,0.0456552,-0.0129228,0.152151,0.136758,0.0106073,0,-1,0,0,0,0.197032,-2.25291,-487.031,183.33,28.7949,2673.36,0.0140875,-2.99263,-319.015,484.894,2.23999,484.894,-293.563
