sdf,area,u,v,p,c,c__x,c__y,c__x__x,c__y__y,advection_diffusion_c,true_advection_diffusion_c,pred_advection_diffusion_c,lambda_advection_diffusion_c,Points:0,Points:1,Points:2,Point ID
330.042,1802.93,-80.0022,-568.556,-3445.82,-0.171382,0.000523589,-0.000540808,-4.53782e-06,-7.84084e-06,0.265592,0,0.265592,1,-1803.41,-1381.99,0,88
246.287,1802.93,-106.914,-217.496,-3074.27,-0.149314,-0.00175137,-0.000567949,-3.09564e-06,-3.56179e-07,0.310772,0,0.310772,1,-298.486,1243.11,0,89
300.212,1802.93,111.727,110.225,-3865.57,-0.148056,0.000809888,-0.00108027,3.8318e-05,6.18623e-05,-0.028586,0,-0.028586,1,1854.61,1453.5,0,90
89.1974,1802.93,-61.8491,-50.5042,-3204.29,0.584794,-0.00190747,0.00106399,1.09126e-06,-2.54217e-07,0.0642398,0,0.0642398,1,586.567,1593.95,0,91
637.013,1802.93,292.926,283.902,-4656.27,-0.278129,-4.20632e-05,-0.000569936,1.68673e-07,1.36526e-05,-0.174128,0,-0.174128,1,2899.93,314.992,0,92
82.3973,1802.93,-105.692,-108.826,-3222.63,0.340703,-0.000331184,0.00021691,3.40039e-05,9.34562e-07,0.0113981,0,0.0113981,1,262.566,1584.82,0,93
10.3447,1802.93,348.875,350.557,-4271.82,-0.132491,-0.000357983,-0.0018426,-6.04189e-08,-2.17118e-07,-0.770827,0,-0.770827,1,2672.01,-483.802,0,94
123.179,1802.93,202.085,194.914,-3106.98,-0.150666,-3.00496e-05,-0.000767642,2.76348e-07,3.02314e-05,-0.155697,0,-0.155697,1,1947.82,160.205,0,95
6.62793,1802.93,-113.142,-311.308,-3429.31,-0.164359,-0.00100611,-0.000750643,-5.80632e-06,-1.88623e-06,0.347514,0,0.347514,1,-642.675,1128.82,0,96
193.177,1802.93,157.911,160.467,-4691.32,0.153563,-0.00028199,0.000562691,-1.71098e-05,-3.99563e-05,0.0457639,0,0.0457639,1,2394.71,1560.53,0,97
197.773,1802.93,127.373,36.4883,-1462.31,0.0495214,0.000794085,-2.10907e-06,0.000184547,2.1144e-08,0.101067,0,0.101067,1,5.97709,-1126.89,0,98
79.2216,1802.93,138.501,137.029,-2576.84,-0.0817089,-0.000536364,0.00210339,1.32121e-06,2.23524e-05,0.213938,0,0.213938,1,1544.96,349.488,0,99
8.18417,1802.93,122.491,125.718,-3130.88,-0.00428633,-0.000539979,0.00114125,-3.42931e-06,-1.52925e-05,0.0773328,0,0.0773328,1,1701.68,838.688,0,100
92.2143,1802.93,-37.6052,-402.792,-2598.73,-0.0971437,-0.000406874,0.000476011,1.40624e-05,1.39466e-05,-0.176433,0,-0.176433,1,-1331.17,-1323.07,0,101
205.331,1802.93,306.84,321.79,-3441.94,-0.217788,0.000497071,0.00117047,6.36041e-06,2.05671e-05,0.529168,0,0.529168,1,1743.31,-978.632,0,102
67.7657,1802.93,367.824,358.864,-3969.56,-0.129197,-0.0010328,-0.000838132,4.44158e-05,3.50512e-05,-0.680664,0,-0.680664,1,1517.46,-1702.87,0,103
20.0144,1802.93,77.5647,77.5156,-3982.27,-0.381167,0.00213936,-0.00224991,-1.34222e-05,-1.08856e-05,-0.00846458,0,-0.00846458,1,1655.1,1733.7,0,104
114.67,1802.93,112.64,23.1193,-1345.52,0.0462387,0.000186566,-3.84229e-06,-1.88017e-05,-5.02617e-08,0.0209259,0,0.0209259,1,-60.9881,-1071.82,0,105
324.109,1802.93,401.167,421.825,-4845.62,-0.326186,-0.000816599,-0.0024059,-8.2935e-06,-0.000108679,-1.34246,0,-1.34246,1,2873.61,-812.346,0,106
155.102,1802.93,20.1765,-264.045,-2165.7,-0.185966,-0.00016576,0.000225118,-2.76527e-05,-1.22449e-05,-0.0627856,0,-0.0627856,1,-1016.11,-1524.22,0,107
249.728,1802.93,-165.747,-645.062,-5128.78,-0.40627,0.000280643,0.000129388,-4.88613e-07,-2.23242e-06,-0.129979,0,-0.129979,1,-1796.82,758.279,0,108
109.719,1802.93,-112.599,-431.86,-3468.8,-0.257291,0.000423668,0.000430381,-1.08361e-06,-4.02417e-06,-0.233569,0,-0.233569,1,-1196.71,539.646,0,109
348.695,1802.93,165.758,170.001,-4616.61,0.0618472,-0.000517319,0.000969345,3.12922e-05,9.50177e-05,0.0790398,0,0.0790398,1,2424.33,1405.02,0,110
266.028,1802.93,188.835,193.98,-5104.31,0.0910506,0.000165883,-0.000223798,8.08403e-06,2.58669e-05,-0.0120879,0,-0.0120879,1,2715.33,1487.68,0,111
32.9826,1802.93,328.138,351.917,-3881.18,-0.214347,-8.76993e-05,0.000145425,3.566e-06,2.42302e-05,0.0224001,0,0.0224001,1,2202.4,-798.762,0,112
238.977,1802.93,-9.08459,-350.088,-2514.43,-0.215297,-0.000666758,0.000657724,-1.30733e-05,-8.91344e-06,-0.224204,0,-0.224204,1,-1243.15,-1531.66,0,113
136.598,1802.93,-141.803,-303.987,-4110.08,-0.199547,0.00024967,-6.8429e-05,2.1547e-05,1.68264e-06,-0.0146025,0,-0.0146025,1,-456.228,1617.11,0,114
102.691,1802.93,-60.3109,-227.355,-1849.01,-0.122435,-0.000110262,-0.00095497,-3.63944e-06,-1.28281e-05,0.223767,0,0.223767,1,-625.456,304.866,0,115
295.44,1802.93,-127.755,-273.122,-3700.85,-0.176274,0.000339131,-4.66006e-05,2.22747e-05,1.73113e-06,-0.0305981,0,-0.0305981,1,-408.101,1458.27,0,116
737.415,1802.93,275.451,269.158,-4646.58,-0.301386,-0.000107082,4.87742e-05,-2.61303e-07,-1.80629e-05,-0.0163678,0,-0.0163678,1,2855.71,442.755,0,117
216.418,1802.93,-113.394,-609.823,-3685.93,-0.383957,0.000180742,0.000121156,-1.2304e-05,-4.86327e-05,-0.0943788,0,-0.0943788,1,-1884.65,-923.923,0,118
40.5647,1802.93,333.734,326.824,-4297.1,-0.332646,-2.97511e-05,0.000902284,7.01384e-07,6.97826e-05,0.284959,0,0.284959,1,2725.71,-258.957,0,119
42.8169,1802.93,389.533,385.741,-4209.01,-0.326267,0.000486713,0.000657941,0.000192816,0.000182324,0.443386,0,0.443386,1,1683.61,-1727.82,0,120
48.1194,1802.93,27.276,-230.295,-1968.32,-0.149239,0.00146843,-0.0008124,9.37025e-06,3.80354e-06,0.227145,0,0.227145,1,-904.608,-1455.14,0,121
223.617,1802.93,136.105,37.6501,-1569.06,0.0435525,0.000321627,-4.7909e-06,0.00248221,3.87627e-08,0.0435896,0,0.0435896,1,-3.20097,-1215.15,0,122
555.753,1802.93,247.034,241.048,-4130.17,-0.280648,-0.000281343,0.00120483,-1.60284e-06,-7.15403e-05,0.22092,0,0.22092,1,2543.67,377.624,0,123
100.096,1802.93,-82.1188,-75.3298,-3305.95,0.740104,3.3656e-05,0.000412349,1.37738e-06,1.35947e-07,-0.033826,0,-0.033826,1,481.838,1649.33,0,124
71.1896,1802.93,-75.23,-394.06,-2422.66,-0.217231,-0.000228207,0.00112327,3.9709e-05,0.00024142,-0.42547,0,-0.42547,1,-1223.91,-495.514,0,125
186.802,1802.93,-134.994,-592.825,-4268.39,-0.391646,0.000126379,-0.000941736,4.45994e-07,2.22134e-05,0.541224,0,0.541224,1,-1749.79,234.305,0,126
266.949,1802.93,145.094,148.992,-3748.99,0.0248179,-0.00044464,0.000951443,-4.79417e-06,-2.02987e-05,0.0772433,0,0.0772433,1,2029.75,1021.57,0,127
89.1407,1802.93,304.658,303.092,-3292.55,-0.23534,-4.85408e-05,0.000154246,-5.08505e-05,-5.22281e-05,0.0319627,0,0.0319627,1,1340.56,-1326.68,0,128
457.967,1802.93,443.983,471.042,-5078.15,-0.268478,-0.000339248,-0.000471187,2.59843e-06,1.0927e-05,-0.372569,0,-0.372569,1,2678.43,-1302.87,0,129
415.118,1802.93,371.224,380.856,-4043.35,-0.239172,5.92192e-05,0.000240961,-3.57315e-05,-6.95749e-05,0.113755,0,0.113755,1,1895.37,-1355.52,0,130
153.512,1802.93,60.5779,59.7566,-3576.43,-0.335239,-0.000492045,0.000241064,0.000125555,9.94515e-05,-0.0154023,0,-0.0154023,1,1431.17,1600.2,0,131
598.586,1802.93,210.967,208.474,-3888.31,-0.162773,-0.00042689,0.0015785,2.58444e-06,5.17711e-05,0.239017,0,0.239017,1,2336.11,512.046,0,132
416.355,1802.93,400.619,416.146,-4428.66,-0.312128,-0.000362671,-0.000335969,-5.12952e-06,-1.19197e-05,-0.285105,0,-0.285105,1,2174.72,-1354.28,0,133
193.379,1802.93,-161.709,-625.334,-4994.45,-0.389143,0.000364177,0.000324879,4.32021e-06,2.31775e-05,-0.262049,0,-0.262049,1,-1738.01,755.318,0,134
629.135,1802.93,185.945,190.115,-4537.81,-0.0221191,-0.000199877,0.000461176,-5.76402e-07,-2.27019e-06,0.0505104,0,0.0505104,1,2504.08,1124.58,0,135
573.331,1802.93,212.204,209.193,-3859.35,-0.192329,-0.000392778,0.00144837,3.53113e-08,-1.38072e-06,0.21964,0,0.21964,1,2326.48,488.695,0,136
325.572,1802.93,196.345,192.084,-3348.86,-0.211826,-0.000159396,0.000284828,-1.95294e-06,-7.49363e-05,0.0234145,0,0.0234145,1,2052.6,335.625,0,137
100.348,1802.93,134.327,136.083,-3094.29,-0.0221668,-8.66072e-05,0.000229761,-7.87121e-06,-4.99782e-05,0.0196329,0,0.0196329,1,1739.61,689.953,0,138
64.7032,1802.93,9.6582,16.1497,-3493.86,-0.334996,-0.00297578,0.00180108,-7.17447e-05,-3.20057e-05,0.000346412,0,0.000346412,1,1134.28,1689.01,0,139
460.829,1802.93,427.139,455.133,-5106.66,-0.29309,-0.00042953,-0.00097235,1.19072e-06,1.45849e-05,-0.626018,0,-0.626018,1,2957.06,-965.904,0,140
384.317,1802.93,-190.572,-685.094,-5811.19,-0.384746,0.000480509,0.000454548,-2.01231e-06,-5.84266e-06,-0.402979,0,-0.402979,1,-1834.38,1129.28,0,141
208.142,1802.93,165.327,168.863,-4795.85,0.134169,-7.50812e-05,0.000241638,-1.82365e-09,-1.72119e-07,0.0283909,0,0.0283909,1,2473.12,1545.57,0,142
564.57,1802.93,215.164,211.655,-3869.83,-0.22058,-0.000418886,0.00159698,2.60666e-05,0.000634935,0.247878,0,0.247878,1,2339.49,473.673,0,143
748.329,1802.93,203.182,202.583,-4310.88,-0.0807624,-0.000292005,0.000793481,-5.19457e-06,-4.80698e-05,0.101415,0,0.101415,1,2486.96,817.744,0,144
66.5268,1802.93,160.311,161.83,-1955.73,-0.0505419,-2.64092e-05,0.000648544,1.47611e-05,0.000392069,0.100719,0,0.100719,1,1220.2,-232.697,0,145
206.355,1802.93,223.729,215.595,-3420.07,-0.16211,-4.57362e-05,-0.000490728,5.09148e-07,8.07938e-05,-0.116031,0,-0.116031,1,2146.05,166.582,0,146
777.396,1802.93,278.744,272.587,-4734.53,-0.307593,-0.000126015,0.000115364,1.66329e-06,6.00299e-05,-0.00367915,0,-0.00367915,1,2904.76,465.4,0,147
124.523,1802.93,-113.329,-450.634,-3528.31,-0.282116,0.000346406,0.000242502,-6.25042e-06,-4.36954e-05,-0.148537,0,-0.148537,1,-1263.8,482.973,0,148
210.393,1802.93,7.08215,-308.849,-2371.91,-0.246595,0.000440817,-0.000154651,5.46979e-06,2.53031e-06,0.0508857,0,0.0508857,1,-1141.59,-1560.24,0,149
891.779,1802.93,218.815,217.409,-4530.47,-0.0614572,0.00014682,-0.000556757,-2.54599e-06,-2.49806e-05,-0.0889176,0,-0.0889176,1,2634.16,816.37,0,150
