sdf,area,u,v,p,c,c__y,c__x,c__y__y,c__x__x,advection_diffusion_c,true_advection_diffusion_c,pred_advection_diffusion_c,lambda_advection_diffusion_c,Points:0,Points:1,Points:2,Point ID
33.6994,11.8777,-87.4439,34.4933,6.16257,142.17,0.551377,-1.53917,0.00744011,0.00267259,153.61,0,153.61,1,-74.2263,49.4091,0,86
22.0363,11.8777,-73.0259,29.6198,5.02926,119.81,0.479043,-1.58294,0.0448431,0.0175797,129.785,0,129.785,1,-63.0823,39.8196,0,87
14.8881,11.8777,-138.357,99.5418,6.98585,310.107,-0.464733,-1.51384,-0.0054444,-0.00376876,163.191,0,163.191,1,-163.088,-135.112,0,88
87.8535,11.8777,-61.5063,65.2132,18.1835,122.865,1.07055,0.811415,0.0137447,0.000413327,19.9071,0,19.9071,1,119.464,24.2247,0,89
3.70423,11.8777,-175.429,55.3121,12.8125,283.767,0.81752,-1.2854,0.0198032,0.0259336,270.714,0,270.714,1,-127.536,146.296,0,90
52.0581,11.8777,-32.8413,16.4542,6.44129,78.1036,0.933767,0.710054,-0.0097759,-0.0312034,-7.95467,0,-7.95467,1,33.6921,57.6848,0,91
21.1391,11.8777,-122.659,59.0661,6.0989,215.574,0.34513,-1.66449,-0.0235777,-0.00508472,224.55,0,224.55,1,-117.945,54.1734,0,92
23.7515,11.8777,-162.222,53.4821,12.1385,260.03,0.715187,-1.39967,-0.00238587,-0.00302091,265.306,0,265.306,1,-121.103,126.249,0,93
51.0654,11.8777,-28.6461,27.5364,8.50442,61.0631,0.912654,0.862604,-0.0249078,-0.0027403,0.420996,0,0.420996,1,51.0636,18.4204,0,94
40.0177,11.8777,-123.33,48.9477,8.4436,200.787,0.561701,-1.53553,0.00339149,0.00108241,216.871,0,216.871,1,-105.16,69.2759,0,95
7.12548,11.8777,-76.5148,74.0325,13.5867,143.914,-0.91286,0.156139,-0.000537777,-0.00132308,-79.5283,0,-79.5283,1,87.566,-142.875,0,96
35.6288,11.8777,-80.8599,27.2348,6.76412,151.121,1.01379,-0.965727,0.00297207,0.0288537,105.699,0,105.699,1,-36.1392,114.371,0,97
85.5962,11.8777,-50.143,42.5831,13.6935,109.316,0.826293,0.897271,-0.0116526,-0.00314138,-9.80569,0,-9.80569,1,81.9638,42.6709,0,98
56.2743,11.8777,-74.7946,74.1873,11.5919,121.862,-0.74313,0.387752,0.0061314,0.00289506,-84.1326,0,-84.1326,1,134.955,-93.7257,0,99
12.8323,11.8777,-45.9299,44.2498,8.37971,79.7369,-0.717908,0.408501,0.0119332,0.0112941,-50.5297,0,-50.5297,1,72.4078,-69.61,0,100
1.27595,11.8777,-69.8526,48.9276,4.57897,152.522,-0.363728,-1.58447,0.0186017,0.00743352,92.883,0,92.883,1,-83.6593,-53.8068,0,101
70.7884,11.8777,-62.5359,40.2,13.8165,140.95,0.785382,0.90125,0.0108975,0.00927299,-24.7882,0,-24.7882,1,87.1972,79.2116,0,102
50.3663,11.8777,-30.4387,32.7639,9.12525,60.3494,1.03993,0.81728,0.0549724,0.00221309,9.19524,0,9.19524,1,59.4628,11.2537,0,103
18.8215,11.8777,-95.0218,31.2255,8.14168,176.201,0.984234,-1.05579,0.00117671,0.0119565,131.056,0,131.056,1,-44.328,131.178,0,104
5.46628,11.8777,-102.782,76.2227,4.59518,241.735,-0.818375,-1.15037,0.0058065,0.00889483,55.8583,0,55.8583,1,-112.53,-136.915,0,105
72.1622,11.8777,-71.6309,71.3026,14.0179,108.054,-0.416857,0.578509,0.0110502,0.00300056,-71.1622,0,-71.1622,1,136.096,-70.8793,0,106
67.7624,11.8777,-86.8368,68.8711,23.1957,190.827,0.736082,0.951847,-0.0223038,-0.0081993,-31.9604,0,-31.9604,1,136.579,82.2376,0,107
92.0174,11.8777,-56.6975,42.8113,14.7921,125.376,0.709835,0.969745,-0.0318537,-0.0149578,-24.5931,0,-24.5931,1,86.5803,57.9826,0,108
6.27203,11.8777,-78.4427,75.9426,14.3114,146.13,-0.858396,0.240576,0.00308171,0.0076748,-84.0602,0,-84.0602,1,95.2129,-143.728,0,109
7.91797,11.8777,-124.663,83.7207,12.494,266.943,-0.0469908,-1.71931,0.0166635,0.00150104,210.401,0,210.401,1,-153.824,-45.5783,0,110
60.9767,11.8777,-109.997,35.1732,8.13747,176.951,0.746323,-1.3645,0.0135608,0.0167076,176.341,0,176.341,1,-80.7288,89.0233,0,111
41.0751,11.8777,-75.6851,45.7169,15.6105,177.626,0.856206,0.82973,0.00494143,0.00558222,-23.6551,0,-23.6551,1,101.303,108.925,0,112
16.9692,11.8777,-62.5665,24.8236,4.49754,102.015,0.526805,-1.55293,0.0232121,0.00882374,110.239,0,110.239,1,-53.2859,34.9692,0,113
5.71352,11.8777,-93.1016,53.8404,17.901,223.644,0.817802,0.879877,-0.0066273,-0.00939466,-37.8871,0,-37.8871,1,120.072,144.286,0,114
3.76044,11.8777,-77.9566,43.3272,2.65713,151.629,0.191311,-1.71513,0.0383094,0.0023445,141.995,0,141.995,1,-85.4873,21.6661,0,115
104.886,11.8777,-69.0793,68.0323,20.9052,145.521,0.970479,0.840692,-0.0258167,-0.00252254,7.94956,0,7.94956,1,126.24,40.2527,0,116
17.768,11.8777,-64.5804,64.642,11.7043,132.475,-1.03238,-0.0732365,-0.00132123,-0.00832831,-62.0056,0,-62.0056,1,53.4277,-132.232,0,117
35.1301,11.8777,-56.8285,24.5596,9.69202,128.369,1.02411,0.378369,0.00535145,0.0826416,3.64946,0,3.64946,1,28.7125,114.87,0,118
27.8355,11.8777,-24.3832,25.5279,6.02152,36.8397,0.288606,0.822876,0.104507,0.00281251,-12.697,0,-12.697,1,48.4921,-8.57456,0,119
17.2814,11.8777,-59.8178,58.7328,12.3626,137.978,-1.10437,-0.276359,-0.000868673,-0.0132068,-48.3317,0,-48.3317,1,31.8006,-132.719,0,120
7.12082,11.8777,-5.61096,2.84614,1.25463,14.6227,1.00659,0.849942,0.0265961,0.0685356,-1.9043,0,-1.9043,1,7.12082,10.8029,0,121
84.5926,11.8777,-49.231,43.5674,13.8125,106.435,0.931686,0.843544,0.00781071,0.00102741,-0.937424,0,-0.937424,1,82.8432,38.5498,0,122
6.751,11.8777,-66.6016,47.8252,3.29773,148.393,-0.434968,-1.53709,0.00633839,0.00415054,81.5701,0,81.5701,1,-78.7372,-61.817,0,123
3.56558,11.8777,-137.715,80.0406,4.94178,280.275,0.111847,-1.74191,0.00417387,7.86119e-05,248.84,0,248.84,1,-159.19,21.9822,0,124
23.1016,11.8777,-140.3,66.8882,7.03946,245.207,0.317282,-1.67783,-0.0151312,-0.00336388,256.623,0,256.623,1,-133.924,63.0238,0,125
37.4147,11.8777,-58.9914,28.6953,12.7295,139.749,0.918549,0.731027,0.000400688,0.000865337,-16.7663,0,-16.7663,1,49.6512,112.585,0,126
5.99666,11.8777,-155.526,45.661,11.8005,259.355,0.940158,-1.13932,-0.0128314,-0.0221179,220.123,0,220.123,1,-108.581,144.003,0,127
28.855,11.8777,-58.9188,56.6967,10.8532,107.873,-0.843329,0.265569,0.00288751,0.00625113,-63.461,0,-63.461,1,74.9913,-104.791,0,128
45.0727,11.8777,-29.9626,12.8558,3.81476,68.2692,1.10891,-0.0349979,-0.000127382,-0.0205266,15.3046,0,15.3046,1,10.0399,61.9403,0,129
46.035,11.8777,-29.6717,14.4544,6.46112,70.4535,0.895186,0.779095,0.00387027,0.0131254,-10.1777,0,-10.1777,1,25.3676,56.4149,0,130
3.76853,11.8777,-13.2916,4.95226,0.647661,25.8004,1.06404,-0.838257,0.00153585,0.117301,16.411,0,16.411,1,-3.85736,21.7685,0,131
80.9961,11.8777,-56.4501,59.7518,16.7031,113.009,1.074,0.810563,0.0168414,0.000684726,18.4169,0,18.4169,1,109.438,22.616,0,132
5.43186,11.8777,-139.474,100.445,6.67837,313.223,-0.446884,-1.52813,0.00580152,0.00436291,168.248,0,168.248,1,-162.458,-144.568,0,133
19.6459,11.8777,-169.243,56.1418,12.7295,270.982,0.722022,-1.3923,-0.00241673,-0.00308282,276.173,0,276.173,1,-126.835,130.354,0,134
