sdf,sdf__x,sdf__y,area,u,v,p,u__y,u__x,v__y,v__x,p__y,p__x,continuity,u__y__y,u__x__y,u__x__x,v__y__y,v__y__x,v__x__x,momentum_y,momentum_x,true_continuity,true_momentum_x,true_momentum_y,pred_continuity,pred_momentum_y,pred_momentum_x,lambda_continuity,lambda_momentum_x,lambda_momentum_y,Points:0,Points:1,Points:2,Point ID
94.4301,0,-1,44.6387,0.274064,-0.0700712,0.129195,0.00458621,0.00223735,-0.00153309,0.000311638,-0.0049164,0.00225197,0.000704259,0.000733885,-0.000336506,0.000130252,-0.000229759,0.000151391,-9.06868e-05,-0.00360977,0.0011045,0,0,0,0.000704259,-0.00360977,0.0011045,94.4301,94.4301,94.4301,150.921,64.9213,0,10
2.68163,0.866476,0.499218,44.6387,0.365945,-0.0468085,0.18784,-0.00622075,0.000190414,0.000117701,-0.00938513,0.00040905,-0.000465374,0.000308115,-0.00010072,0.000297406,-0.00118254,0.000230498,-0.000773481,0.00223477,-0.00304304,0.000106167,0,0,0,0.000308115,-0.00304304,0.000106167,2.68163,2.68163,2.68163,-35.4078,-111.646,0,11
77.6912,1,-0,44.6387,-0.299364,0.0267731,0.143432,-0.00339078,0.00162522,-0.00315753,0.000710294,-0.00236935,0.000606986,-0.0015323,0.00124619,0.000765267,0.000668061,4.70247e-05,0.000185795,-4.57835e-06,-0.00320052,-0.00235847,0,0,0,-0.0015323,-0.00320052,-0.00235847,77.6912,77.6912,77.6912,39.9598,-29.1304,0,12
24.3817,0,-1,44.6387,0.254931,-0.109667,0.207151,-0.00747658,0.00714989,-0.00399343,0.0032347,0.00546424,-0.00305797,0.00315646,-0.000169443,6.45234e-05,-1.66716e-05,-0.000369547,0.000245323,-0.000163405,0.00676945,-0.000272688,0,0,0,0.00315646,0.00676945,-0.000272688,24.3817,24.3817,24.3817,190.522,134.97,0,13
19.1653,-1,-0,44.6387,1.0293,-0.015846,-0.611099,-0.0161086,-0.0165492,0.00422893,0.00164184,0.0104595,0.00892521,-0.0123202,-6.91651e-06,-1.14339e-05,-2.45368e-05,-0.000536198,-0.000152701,-5.63552e-05,0.010496,-0.0140897,0,0,0,-0.0123202,0.010496,-0.0140897,19.1653,19.1653,19.1653,-145.836,46.3396,0,14
93.4805,0,1,44.6387,0.136744,0.0913475,0.129108,-0.00113623,0.00290228,0.000713535,0.00025528,0.0014807,-6.54622e-05,0.00361582,-0.000745791,-0.00037658,-0.000211116,0.00152334,0.000753541,0.000376365,-0.00021373,0.00117008,0,0,0,0.00361582,-0.00021373,0.00117008,93.4805,93.4805,93.4805,135.055,-67.5632,0,15
65.5798,0,-1,44.6387,0.571586,-0.0890584,0.100569,0.00244095,0.00231838,-0.00346334,0.00103085,0.000986431,-0.000682039,-0.00114497,0.000265246,-0.000126119,5.32678e-05,0.000270283,-6.94631e-05,1.72993e-05,0.00105132,9.67892e-05,0,0,0,-0.00114497,0.00105132,9.67892e-05,65.5798,65.5798,65.5798,241.633,93.7716,0,16
20.4097,0,1,44.6387,0.353474,0.0775312,0.140682,-0.00304088,0.00134799,-0.00517197,-0.0034906,0.00768794,0.00623983,-0.00382398,0.000357579,0.000437431,0.000504308,-0.000597561,-0.0007052,-0.000815484,0.00914992,0.00652111,0,0,0,-0.00382398,0.00914992,0.00652111,20.4097,20.4097,20.4097,121.217,-140.634,0,17
59.8243,0.999956,-0.00940627,44.6387,-0.291034,-0.0734603,0.121506,0.00867889,0.00315685,-0.000840576,-0.000468787,0.00197511,0.00174608,0.00231627,0.000984602,-0.000885487,0.000780897,-0.000691574,0.000836394,-0.000729415,0.00717301,-0.00389625,0,0,0,0.00231627,0.00717301,-0.00389625,59.8243,59.8243,59.8243,22.0902,30.6307,0,18
45.9747,0,1,44.6387,0.476596,0.15186,0.0374746,0.00204378,0.00338751,0.00189494,0.00163124,-0.00242027,-0.00164953,0.00528245,-0.00033644,-0.000142023,-6.00868e-05,-0.000174985,-4.94792e-05,-5.00334e-06,-0.000605671,0.00143139,0,0,0,0.00528245,-0.000605671,0.00143139,45.9747,45.9747,45.9747,264.079,-115.069,0,19
128.208,1,-0,44.6387,-0.054142,0.0984555,0.161045,-0.000689296,0.00531716,-0.00142254,0.000159902,0.00547315,0.00186022,0.00389463,0.000233308,0.000149634,3.51535e-05,5.10157e-05,5.18811e-05,-1.26807e-05,0.0053609,0.00103185,0,0,0,0.00389463,0.0053609,0.00103185,128.208,128.208,128.208,90.4769,-30.6144,0,20
7.92272,-0,1,44.6387,0.2505,-0.0130243,0.203012,-0.00431049,-0.00191927,-0.00385225,0.00181895,-0.00646673,0.0124704,-0.00577152,0.000893197,-0.00208781,0.0047116,0.00040794,-0.0010467,0.00235872,-0.00612033,0.011389,0,0,0,-0.00577152,-0.00612033,0.011389,7.92272,7.92272,7.92272,-45.5881,-105.062,0,21
64.0343,0,-1,44.6387,0.237274,-0.0926011,0.152045,0.00649105,-0.0102661,0.00311583,-0.00345446,-0.00104116,-0.000453718,-0.00715022,-0.000144601,0.000317122,-0.00121062,-2.9628e-05,8.61562e-05,-0.000250035,-0.00170619,0.00826963,0,0,0,-0.00715022,-0.00170619,0.00826963,64.0343,64.0343,64.0343,23.8291,95.3171,0,22
12.7562,0,-1,44.6387,0.558061,-0.207812,0.074461,0.0065553,0.00482143,-0.00312275,-0.0038787,0.0016003,0.00896599,0.00169868,-0.000187813,-0.000578389,-0.00178287,0.000283368,0.000841312,0.00263231,-0.000961927,0.011562,0,0,0,0.00169868,-0.000961927,0.011562,12.7562,12.7562,12.7562,-49.9611,146.595,0,23
8.42202,0,1,44.6387,0.455929,0.158823,0.154552,-0.00750176,0.00610752,-0.00180181,-0.00065024,-0.00543509,0.00985273,0.00430571,8.35945e-05,-0.000102814,5.57901e-05,-0.000401474,0.000609928,-0.000968688,-0.00557995,0.0115754,0,0,0,0.00430571,-0.00557995,0.0115754,8.42202,8.42202,8.42202,-80.1247,-152.622,0,24
88.6549,1,-0,44.6387,-0.134694,-0.0948987,0.151797,0.0100047,-0.00201304,0.00353115,-0.00358815,0.000643768,-0.00139622,0.00151811,-0.000407987,0.000236518,-0.000263244,0.00116175,-0.000926783,0.000737325,-0.00258785,-0.000565308,0,0,0,0.00151811,-0.00258785,-0.000565308,88.6549,88.6549,88.6549,50.9234,41.125,0,25
15.1946,0,-1,44.6387,0.285299,-0.101374,0.214105,-0.00795183,0.00738627,-0.00395851,0.0031984,0.00618183,-0.00361888,0.00342776,-0.000388336,0.000233298,-0.000144526,-0.000389745,0.000258823,-0.000173055,0.00738476,-0.000412335,0,0,0,0.00342776,0.00738476,-0.000412335,15.1946,15.1946,15.1946,204.452,144.157,0,26
8.36608,-1,-0,44.6387,0.372432,0.0958833,-0.55109,0.0169218,-0.0148438,0.00899004,-0.00758416,-0.00455271,0.00810864,-0.00585374,-0.00532069,0.00366707,-0.00252523,0.0024391,-0.00164312,0.00110415,-0.00639492,0.00661156,0,0,0,-0.00585374,-0.00639492,0.00661156,8.36608,8.36608,8.36608,-135.037,-92.9051,0,27
95.0813,0,1,44.6387,0.371181,0.102516,0.108649,0.00268887,0.00381887,-0.00295939,-0.00059075,0.00272486,0.000354007,0.000859483,3.69804e-06,1.35576e-05,3.16895e-06,0.000132421,3.44166e-06,9.88912e-08,0.00188291,0.00207002,0,0,0,0.000859483,0.00188291,0.00207002,95.0813,95.0813,95.0813,201.329,-65.9624,0,28
18.0495,0,1,44.6387,0.366261,0.0496694,0.214424,-0.00725995,-0.00326001,-0.00295945,-0.000924914,0.00750318,0.00575494,-0.00621946,-0.000823682,-0.000859958,-0.000917329,-0.000147214,-0.00013955,-0.000118733,0.00871872,0.00702634,0,0,0,-0.00621946,0.00871872,0.00702634,18.0495,18.0495,18.0495,137.425,-142.994,0,29
2.3853,-0,-1,44.6387,0.213502,-0.00654411,0.145493,-0.00566958,0.000890686,-0.000775645,-0.00652409,-0.00177635,0.001996,0.000115042,0.000483331,-0.00108544,0.00227886,-0.000921488,0.00157077,-0.00284141,-0.0029208,0.00190834,0,0,0,0.000115042,-0.0029208,0.00190834,2.3853,2.3853,2.3853,-48.5341,-99.3499,0,30
37.6124,-0,1,44.6387,0.0506949,-0.00900009,0.127196,0.00983809,0.00861711,-0.00871933,-0.0142491,0.0046456,0.00746884,-0.000102219,0.000596254,0.000848757,0.00115825,0.000499776,0.000736134,0.00115057,-0.00228851,0.00155593,0,0,0,-0.000102219,-0.00228851,0.00155593,37.6124,37.6124,37.6124,-59.8896,84.8256,0,31
77.7187,0,1,44.6387,0.0958281,0.0594622,0.230182,-0.00639853,-0.000350541,-0.00111816,-0.000132174,-0.00131001,-0.00126248,-0.0014687,-0.000282843,-0.000190004,-0.000160193,0.000298881,0.00016575,0.000101125,-0.00188646,-0.000983119,0,0,0,-0.0014687,-0.00188646,-0.000983119,77.7187,77.7187,77.7187,108.504,-83.325,0,32
8.56665,0,-1,44.6387,0.514912,-0.0820463,0.0272303,0.00326187,-0.00542287,0.000447759,0.00100902,-0.00133461,0.00256661,-0.00497511,8.79747e-06,0.000250818,0.00325781,8.22723e-06,-5.39361e-05,-0.000947968,-0.000436091,-0.0014868,0,0,0,-0.00497511,-0.000436091,-0.0014868,8.56665,8.56665,8.56665,-11.4765,150.785,0,33
15.5537,-0,-1,44.6387,0.33303,0.172991,-0.0440407,-0.00945125,0.00975255,-0.0115908,0.0127831,-0.00262164,0.00581781,-0.00183824,-0.000602235,0.00085896,-0.00124043,-0.000109801,0.000162201,-0.000280198,-0.00175807,0.0104819,0,0,0,-0.00183824,-0.00175807,0.0104819,15.5537,15.5537,15.5537,-100.592,-144.558,0,34
8.41359,0,1,44.6387,0.169856,0.141634,-0.31886,-0.00689614,0.00650132,-0.00903234,0.00875106,-0.00281823,0.0088127,-0.00253102,-0.00082314,0.000949056,-0.00108813,0.000489575,-0.000520637,0.000528413,-0.001994,0.0093338,0,0,0,-0.00253102,-0.001994,0.0093338,8.41359,8.41359,8.41359,-126.273,-152.63,0,35
58.9986,0,1,44.6387,0.491641,0.180021,0.0425673,0.00491187,0.00438822,0.00395056,0.00270589,-0.000422877,-0.00067938,0.00833878,0.00041385,0.000158209,5.93971e-05,-0.00115716,-0.000415475,-0.000141256,0.00622444,0.00274228,0,0,0,0.00833878,0.00622444,0.00274228,58.9986,58.9986,58.9986,264.34,-102.045,0,36
32.4377,-0,1,44.6387,-0.0886889,0.090589,0.0759745,0.00743252,0.00681413,-0.0026333,-0.00593616,0.00667514,0.00816375,0.00418083,0.00101306,0.000988797,0.000971663,0.000238642,0.000243429,0.000235739,0.00760213,0.000439779,0,0,0,0.00418083,0.00760213,0.000439779,32.4377,32.4377,32.4377,-74.348,79.6508,0,37
73.2648,0,1,44.6387,0.113784,0.0301835,0.283319,-0.00372675,0.00160015,0.00608275,0.00613473,-0.0088555,-0.00744655,0.0076829,-0.000348079,-0.000228222,-0.000179096,-0.000219908,-0.000256961,-0.000237974,-0.00548007,-0.00573146,0,0,0,0.0076829,-0.00548007,-0.00573146,73.2648,73.2648,73.2648,103.634,-87.7789,0,38
82.8079,0,-1,44.6387,0.0865235,-0.0936861,0.123577,0.006876,-0.00307997,-0.000434585,0.00372271,-0.00508306,0.00667505,-0.00351455,0.000314914,-0.000579334,0.000824677,0.000213674,-0.000154839,7.38895e-05,-0.00336102,0.000870479,0,0,0,-0.00351455,-0.00336102,0.000870479,82.8079,82.8079,82.8079,46.5159,76.5435,0,39
157.975,0,-1,44.6387,0.32232,0.0199506,0.145612,-6.63972e-05,0.00323328,-0.00142413,4.94933e-05,-0.00153661,-0.000629252,0.00180915,0.000507396,1.87825e-05,-8.01334e-06,0.000289036,3.1041e-05,5.11861e-06,-0.00195201,-9.19724e-05,0,0,0,0.00180915,-0.00195201,-9.19724e-05,157.975,157.975,157.975,185.719,1.37616,0,40
